user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Km180	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__DTU024;s__	N/A	N/A	N/A	N/A	N/A	GCA_002411105.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__DTU024;s__DTU024 sp002411105	82.57	0.54	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__DTU024;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_012522875.1, s__DTU024 sp012522875, 95.0, 79.42, 0.36; GCA_012728815.1, s__DTU024 sp012728815, 95.0, 79.23, 0.3; GCA_012514225.1, s__DTU024 sp012514225, 95.0, 79.22, 0.3; GCA_012521895.1, s__DTU024 sp012521895, 95.0, 78.72, 0.28; GCA_002428405.1, s__DTU024 sp002428405, 95.0, 78.57, 0.17; GCA_012837525.1, s__DTU024 sp012837525, 95.0, 78.53, 0.25; GCA_012728435.1, s__DTU024 sp012728435, 95.0, 78.3, 0.21; GCA_012518615.1, s__DTU024 sp012518615, 95.0, 76.68, 0.01; GCA_012837965.1, s__DTU024 sp012837965, 95.0, 75.69, 0.04; GCA_001513425.1, s__DTU024 sp001513425, 95.0, 75.66, 0.05; GCA_012837835.1, s__DTU024 sp012837835, 95.0, 75.6, 0.01	68.45	11	0.9665608755501887	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 20.8% of markers with multiple hits
Km181	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__UBA4179;s__UBA4179 sp002305015	GCA_002305015.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__UBA4179;s__UBA4179 sp002305015	98.74	0.81	GCA_002305015.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__UBA4179;s__UBA4179 sp002305015	98.74	0.81	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__UBA4179;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012798745.1, s__UBA4179 sp012798745, 95.0, 84.14, 0.58; GCA_002381125.1, s__UBA4179 sp002381125, 95.0, 83.78, 0.77; GCA_002849245.1, s__UBA4179 sp002849245, 95.0, 78.54, 0.18	88.01	11	N/A	N/A
Km182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__DTU024;s__	N/A	N/A	N/A	N/A	N/A	GCA_012514225.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__DTU024;s__DTU024 sp012514225	79.7	0.39	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__DTU024;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_012728815.1, s__DTU024 sp012728815, 95.0, 78.21, 0.38; GCA_012521895.1, s__DTU024 sp012521895, 95.0, 77.93, 0.37; GCA_002428405.1, s__DTU024 sp002428405, 95.0, 77.79, 0.18; GCA_012728435.1, s__DTU024 sp012728435, 95.0, 77.6, 0.18; GCA_012837525.1, s__DTU024 sp012837525, 95.0, 77.54, 0.29; GCA_002411105.1, s__DTU024 sp002411105, 95.0, 77.26, 0.2; GCA_012837965.1, s__DTU024 sp012837965, 95.0, 77.02, 0.03; GCA_012837835.1, s__DTU024 sp012837835, 95.0, 77.0, 0.01; GCA_012522875.1, s__DTU024 sp012522875, 95.0, 76.55, 0.13; GCA_012518615.1, s__DTU024 sp012518615, 95.0, 76.42, 0.01; GCA_001513425.1, s__DTU024 sp001513425, 95.0, 75.94, 0.06	79.9	11	0.9410659690058621	N/A
Km183	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__JAAYVN01;s__JAAYVN01 sp012517155	GCA_012517155.1	95.0	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__JAAYVN01;s__JAAYVN01 sp012517155	99.44	0.87	GCA_012517155.1	95.0	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__JAAYVN01;s__JAAYVN01 sp012517155	99.44	0.87	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	82.53	11	N/A	N/A
Km184	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA668;s__UBA668 sp002299395	GCA_016722025.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA668;s__UBA668 sp002299395	99.06	0.96	GCA_016722025.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA668;s__UBA668 sp002299395	99.06	0.96	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA668;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_016213625.1, s__UBA668 sp016213625, 95.0, 80.75, 0.58; GCA_005778215.1, s__UBA668 sp005778215, 95.0, 80.53, 0.57; GCA_003154135.1, s__UBA668 sp003154135, 95.0, 80.17, 0.57; GCA_903919215.1, s__UBA668 sp903919215, 95.0, 79.66, 0.47; GCA_009702045.1, s__UBA668 sp009702045, 95.0, 79.65, 0.43; GCA_903919455.1, s__UBA668 sp903919455, 95.0, 79.56, 0.48; GCA_016213665.1, s__UBA668 sp016213665, 95.0, 78.33, 0.4	85.15	11	N/A	N/A
Km185R	d__Bacteria;p__Firmicutes_B;c__Moorellia;o__Thermacetogeniales;f__Thermacetogeniaceae;g__DTU068;s__DTU068 sp012842275	GCA_012842275.1	95.0	d__Bacteria;p__Firmicutes_B;c__Moorellia;o__Thermacetogeniales;f__Thermacetogeniaceae;g__DTU068;s__DTU068 sp012842275	99.73	0.95	GCA_012842275.1	95.0	d__Bacteria;p__Firmicutes_B;c__Moorellia;o__Thermacetogeniales;f__Thermacetogeniaceae;g__DTU068;s__DTU068 sp012842275	99.73	0.95	d__Bacteria;p__Firmicutes_B;c__Moorellia;o__Thermacetogeniales;f__Thermacetogeniaceae;g__DTU068;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012840405.1, s__DTU068 sp012840405, 95.0, 91.61, 0.74; GCA_001513545.1, s__DTU068 sp001513545, 95.0, 91.4, 0.78; GCA_012516535.1, s__DTU068 sp012516535, 95.0, 90.64, 0.76	92.0	11	N/A	N/A
Km189	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__Cloacimonas;s__Cloacimonas sp002432865	GCA_002432865.1	95.0	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__Cloacimonas;s__Cloacimonas sp002432865	99.57	0.82	GCA_002432865.1	95.0	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__Cloacimonas;s__Cloacimonas sp002432865	99.57	0.82	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__Cloacimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000146065.2, s__Cloacimonas acidaminovorans, 95.0, 78.96, 0.5; GCA_002425825.1, s__Cloacimonas sp002425825, 95.0, 78.01, 0.04; GCA_017996595.1, s__Cloacimonas sp017996595, 95.0, 77.02, 0.04; GCA_002428685.1, s__Cloacimonas sp002428685, 95.0, 76.58, 0.1; GCA_002840645.1, s__Cloacimonas sp002840645, 95.0, 76.49, 0.05	80.84	11	N/A	N/A
Km190	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__JAAYLU01;s__JAAYLU01 sp002068355	GCA_002068355.1	95.0	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__JAAYLU01;s__JAAYLU01 sp002068355	98.53	0.84	GCA_002068355.1	95.0	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__JAAYLU01;s__JAAYLU01 sp002068355	98.53	0.84	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__JAAYLU01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012521675.1, s__JAAYLU01 sp012521675, 95.0, 80.63, 0.59; GCA_018436785.1, s__JAAYLU01 sp018436785, 95.0, 77.98, 0.28; GCA_018436725.1, s__JAAYLU01 sp018436725, 95.0, 77.89, 0.37; GCA_001604435.1, s__JAAYLU01 sp001604435, 95.0, 77.82, 0.19	77.58	11	N/A	N/A
Km196	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mobilitalea;s__	N/A	N/A	N/A	N/A	N/A	GCF_003945225.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mobilitalea;s__Mobilitalea hemicellulosilytica_A	94.89	0.79	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mobilitalea;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_002904165.1, s__Mobilitalea hemicellulosilytica, 95.0, 78.17, 0.1; GCF_900070325.1, s__Mobilitalea luporum, 95.0, 77.05, 0.07; GCA_014174405.1, s__Mobilitalea sp014174405, 95.0, 76.98, 0.1; GCA_012735495.1, s__Mobilitalea sp012735495, 95.0, 76.98, 0.08; GCF_015999265.1, s__Mobilitalea sibirica, 95.0, 76.89, 0.07; GCA_012839295.1, s__Mobilitalea sp012839295, 95.0, 76.75, 0.09; GCA_012523775.1, s__Mobilitalea sp012523775, 95.0, 76.72, 0.1; GCA_012518975.1, s__Mobilitalea sp012518975, 95.0, 76.69, 0.07; GCA_012519905.1, s__Mobilitalea sp012519905, 95.0, 76.64, 0.07; GCA_002329645.1, s__Mobilitalea sp002329645, 95.0, 76.63, 0.07; GCA_017861355.1, s__Mobilitalea sp017861355, 95.0, 76.59, 0.07; GCA_015057615.1, s__Mobilitalea sp015057615, 95.0, 76.55, 0.07; GCA_002307215.1, s__Mobilitalea sp002307215, 95.0, 76.53, 0.08; GCA_012519565.1, s__Mobilitalea sp012519565, 95.0, 76.53, 0.05; GCA_003519685.1, s__Mobilitalea sp003519685, 95.0, 76.51, 0.05; GCA_012523925.1, s__Mobilitalea sp012523925, 95.0, 76.47, 0.05; GCA_012837605.1, s__Mobilitalea sp012837605, 95.0, 76.45, 0.08; GCA_012839085.1, s__Mobilitalea sp012839085, 95.0, 76.43, 0.06; GCA_012837865.1, s__Mobilitalea sp012837865, 95.0, 76.29, 0.02; GCA_012522735.1, s__Mobilitalea sp012522735, 95.0, 76.11, 0.07; GCA_012519195.1, s__Mobilitalea sp012519195, 95.0, 76.03, 0.06; GCA_012839235.1, s__Mobilitalea sp012839235, 95.0, 76.01, 0.04; GCA_004294845.1, s__Mobilitalea sp004294845, 95.0, 75.97, 0.06; GCA_012518935.1, s__Mobilitalea sp012518935, 95.0, 75.88, 0.05; GCA_012520635.1, s__Mobilitalea sp012520635, 95.0, 75.53, 0.04	83.34	11	0.9970075482827502	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Km198R	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__DTU052;g__DTU052;s__	N/A	N/A	N/A	N/A	N/A	GCA_012728655.1	95.0	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__DTU052;g__DTU052;s__DTU052 sp012728655	87.56	0.88	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__DTU052;g__DTU052;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_001512495.1, s__DTU052 sp001512495, 95.0, 87.91, 0.87; GCA_002329495.1, s__DTU052 sp002329495, 95.0, 78.35, 0.38; GCA_012729505.1, s__DTU052 sp012729505, 95.0, 76.18, 0.09	91.82	11	0.9738073282054533	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Km199	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA1038;s__	N/A	N/A	N/A	N/A	N/A	GCA_002305755.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA1038;s__UBA1038 sp002305755	80.68	0.44	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA1038;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_012513645.1, s__UBA1038 sp012513645, 95.0, 78.94, 0.3; GCA_012512355.1, s__UBA1038 sp012512355, 95.0, 78.47, 0.11; GCA_012513735.1, s__UBA1038 sp012513735, 95.0, 77.53, 0.14	56.18	11	0.9539987663151173	N/A
Km2	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Brevilactibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_004126535.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Brevilactibacter;s__Brevilactibacter flavus	83.08	0.69	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Brevilactibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_011393335.1, s__Brevilactibacter coleopterorum, 95.0, 81.75, 0.65; GCF_004324755.1, s__Brevilactibacter sinopodophylli, 95.0, 79.48, 0.43; GCF_017569205.1, s__Brevilactibacter sp014164685, 95.0, 79.47, 0.47; GCA_016711325.1, s__Brevilactibacter sp016711325, 95.0, 79.08, 0.38; GCA_012838755.1, s__Brevilactibacter sp012838755, 95.0, 79.04, 0.4; GCA_014858005.1, s__Brevilactibacter sp014858005, 95.0, 78.74, 0.41	70.47	11	0.990433835013624	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Km200	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__VBCG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016704895.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__VBCG01;s__VBCG01 sp016704895	92.42	0.87	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__VBCG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_905339295.1, s__VBCG01 sp905339295, 95.0, 85.63, 0.81; GCA_015075645.1, s__VBCG01 sp015075645, 95.0, 83.54, 0.77; GCA_016716425.1, s__VBCG01 sp016716425, 95.0, 81.22, 0.68; GCA_016861105.1, s__VBCG01 sp016861105, 95.0, 80.69, 0.6; GCA_018241745.1, s__VBCG01 sp018241745, 95.0, 79.72, 0.47; GCA_018971195.1, s__VBCG01 sp018971195, 95.0, 79.7, 0.38; GCA_018241785.1, s__VBCG01 sp018241785, 95.0, 79.54, 0.43; GCA_005881895.1, s__VBCG01 sp005881895, 95.0, 77.66, 0.29	80.28	11	0.986357466977612	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Km202	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__	N/A	N/A	N/A	N/A	N/A	GCA_900314445.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp900314445	76.89	0.08	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017430325.1, s__Eubacterium_Q sp017430325, 95.0, 77.25, 0.05; GCA_000702245.1, s__Eubacterium_Q sp000702245, 95.0, 77.2, 0.03; GCA_902775555.1, s__Eubacterium_Q sp902775555, 95.0, 77.15, 0.03; GCA_000703065.1, s__Eubacterium_Q sp000703065, 95.0, 77.03, 0.02; GCA_902776395.1, s__Eubacterium_Q sp902776395, 95.0, 76.88, 0.03; GCA_900316715.1, s__Eubacterium_Q sp900316715, 95.0, 76.79, 0.04; GCA_002368685.1, s__Eubacterium_Q sp002368685, 95.0, 76.78, 0.02; GCA_902792005.1, s__Eubacterium_Q sp902792005, 95.0, 76.76, 0.02; GCA_000687975.1, s__Eubacterium_Q sp000687975, 95.0, 76.67, 0.04; GCA_017519155.1, s__Eubacterium_Q sp017519155, 95.0, 76.5, 0.04; GCA_900199595.1, s__Eubacterium_Q sp900199595, 95.0, 76.49, 0.07; GCA_002392655.1, s__Eubacterium_Q sp002392655, 95.0, 76.46, 0.06; GCF_900108205.1, s__Eubacterium_Q ruminantium_A, 95.0, 76.42, 0.07; GCA_902789175.1, s__Eubacterium_Q sp902789175, 95.0, 76.36, 0.06; GCA_902774725.1, s__Eubacterium_Q sp902774725, 95.0, 76.33, 0.06; GCA_902760415.1, s__Eubacterium_Q sp002349225, 95.0, 76.31, 0.04; GCA_902760755.1, s__Eubacterium_Q sp902760755, 95.0, 76.25, 0.02; GCF_900167085.1, s__Eubacterium_Q ruminantium, 95.0, 76.24, 0.08; GCA_017619835.1, s__Eubacterium_Q sp017619835, 95.0, 76.23, 0.03; GCA_017539165.1, s__Eubacterium_Q sp017539165, 95.0, 76.23, 0.07; GCA_017420535.1, s__Eubacterium_Q sp017420535, 95.0, 76.22, 0.07; GCA_000687655.1, s__Eubacterium_Q sp000687655, 95.0, 76.19, 0.05; GCA_002372545.1, s__Eubacterium_Q sp002372545, 95.0, 76.18, 0.02; GCA_900321505.1, s__Eubacterium_Q sp900321505, 95.0, 76.12, 0.01; GCA_017634555.1, s__Eubacterium_Q sp017634555, 95.0, 76.11, 0.05; GCA_017477505.1, s__Eubacterium_Q sp017477505, 95.0, 76.1, 0.05; GCA_002371025.1, s__Eubacterium_Q sp002371025, 95.0, 76.1, 0.03; GCA_902781895.1, s__Eubacterium_Q sp902781895, 95.0, 76.05, 0.07; GCA_017634475.1, s__Eubacterium_Q sp017634475, 95.0, 75.98, 0.01; GCA_902780985.1, s__Eubacterium_Q sp902780985, 95.0, 75.97, 0.02; GCA_902796375.1, s__Eubacterium_Q sp902796375, 95.0, 75.97, 0.01; GCA_902774915.1, s__Eubacterium_Q sp902777655, 95.0, 75.92, 0.04; GCA_017616955.1, s__Eubacterium_Q sp017616955, 95.0, 75.88, 0.03; GCA_017480495.1, s__Eubacterium_Q sp017480495, 95.0, 75.84, 0.03; GCA_902796385.1, s__Eubacterium_Q sp902796385, 95.0, 75.81, 0.02; GCA_002350525.1, s__Eubacterium_Q sp002350525, 95.0, 75.79, 0.05; GCA_902783605.1, s__Eubacterium_Q sp902783605, 95.0, 75.73, 0.04; GCA_900110635.1, s__Eubacterium_Q sp900110635, 95.0, 75.72, 0.07; GCA_002391105.1, s__Eubacterium_Q sp002391105, 95.0, 75.7, 0.04; GCA_017541035.1, s__Eubacterium_Q sp017541035, 95.0, 75.63, 0.02; GCA_902773185.1, s__Eubacterium_Q sp902773185, 95.0, 75.6, 0.02; GCA_003520105.1, s__Eubacterium_Q sp003520105, 95.0, 75.6, 0.01; GCA_017437905.1, s__Eubacterium_Q sp017437905, 95.0, 75.57, 0.01; GCA_902772925.1, s__Eubacterium_Q sp902772925, 95.0, 75.42, 0.02; GCA_902795855.1, s__Eubacterium_Q sp902795855, 95.0, 75.42, 0.03; GCA_900321215.1, s__Eubacterium_Q sp900321215, 95.0, 75.34, 0.03; GCA_003520205.1, s__Eubacterium_Q sp003520205, 95.0, 75.32, 0.06; GCA_902782965.1, s__Eubacterium_Q sp902782965, 95.0, 75.15, 0.03; GCA_902782695.1, s__Eubacterium_Q sp902782695, 95.0, 74.8, 0.05; GCA_902797155.1, s__Eubacterium_Q sp902797155, 95.0, 74.65, 0.01	65.51	11	0.9554717005580879	N/A
